epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72666,2.39341,3.52656,1.55007,0.00573,0.39476,0.02618,0.00753,2.27127,3.40778,1.45669,1.667e-05,1.667e-05,1.667e-05
2,2.70077,2.09978,3.65519,1.46099,0.00603,0.40563,0.035,0.00791,2.1863,3.4112,1.41196,4.9911e-05,4.9911e-05,4.9911e-05
3,3.63794,1.89103,3.49617,1.38524,0.00667,0.43972,0.07148,0.02023,1.91538,3.38868,1.2426,8.30199e-05,8.30199e-05,8.30199e-05
4,4.50766,1.77443,3.39079,1.23621,0.00745,0.48468,0.14999,0.06263,1.9056,3.36565,1.19737,0.000115997,0.000115997,0.000115997
5,5.41461,1.67368,3.32624,1.20656,0.00746,0.48468,0.18345,0.0779,1.89596,3.38999,1.19739,0.000148842,0.000148842,0.000148842
6,6.25498,1.73855,3.37207,1.15916,0.00748,0.49555,0.16968,0.07642,1.96888,3.40516,1.19317,0.000181555,0.000181555,0.000181555
7,7.06871,1.77477,3.33093,1.22469,0.0071,0.48468,0.22899,0.10335,1.76327,3.3738,1.14252,0.000214135,0.000214135,0.000214135
8,7.89945,1.61637,2.92716,1.17963,0.00755,0.5168,0.2942,0.13331,1.58387,3.31304,1.07313,0.000246584,0.000246584,0.000246584
9,8.76381,1.46442,2.772,1.05018,0.00766,0.5168,0.2858,0.12029,1.60289,3.31953,1.08609,0.000278901,0.000278901,0.000278901
10,9.57319,1.56022,2.59323,1.17273,0.00758,0.50494,0.2563,0.10944,1.63511,3.31932,1.10278,0.000311086,0.000311086,0.000311086
11,10.4531,1.49999,2.61753,1.13863,0.00744,0.49358,0.24215,0.09926,1.67123,3.31435,1.13195,0.000343139,0.000343139,0.000343139
12,11.2796,1.65248,2.20554,1.09998,0.0079,0.52619,0.22342,0.09612,1.67401,3.28802,1.12847,0.000375059,0.000375059,0.000375059
13,12.2185,1.58274,2.1187,1.15387,0.00793,0.52668,0.2573,0.126,1.60599,3.24263,1.09929,0.000406848,0.000406848,0.000406848
14,13.0318,1.53376,2.23321,1.11983,0.00802,0.53755,0.2875,0.14933,1.5259,3.16598,1.06747,0.000438505,0.000438505,0.000438505
15,13.8654,1.57545,1.81269,1.17752,0.00865,0.58152,0.31078,0.16346,1.44906,3.05935,1.03639,0.000470029,0.000470029,0.000470029
16,14.7241,1.58703,1.81566,1.13178,0.80334,0.27273,0.29962,0.1822,1.36826,2.9669,1.01034,0.000501422,0.000501422,0.000501422
17,15.574,1.57731,1.92401,1.1023,0.94758,0.09732,0.29061,0.17982,1.35961,2.9188,1.00333,0.000532683,0.000532683,0.000532683
18,16.4116,1.61718,1.63256,1.18033,0.9602,0.13164,0.29688,0.16916,1.38197,2.90785,1.00095,0.000563811,0.000563811,0.000563811
19,17.2196,1.47275,1.6593,1.14015,0.9664,0.1578,0.31725,0.18102,1.38219,2.90369,0.99532,0.000594808,0.000594808,0.000594808
20,18.0633,1.43969,1.57306,1.13013,0.97334,0.20189,0.32049,0.1842,1.42569,2.8603,1.01601,0.000625672,0.000625672,0.000625672
